LOCATION_ADDRESS,AREA_NA7,AREA_SH5
640 Dixon Rd.,West Humber-Clairville,1
100 Lippincott St,University,79
55 Hallcrown Pl,Henry Farm,53
445 Rexdale Blvd,West Humber-Clairville,1
14 Roncesvalles Ave,High Park-Swansea,87
973 Lansdowne Ave,Junction-Wallace Emerson,171
850 Bloor St W,Dovercourt Village,172
43 Christie St,Annex,95
1229 Ellesmere Rd,Bendale-Glen Andrew,156
1677 Wilson Ave,Oakdale-Beverley Heights,154
1651 Sheppard Ave W,Downsview,155
808 Mt Pleasant Rd,North Toronto,173
20 Milner Business Ct,Malvern East,146
4222 Kingston Rd,West Hill,136
4674 Kingston Rd,West Hill,136
4540 Kingston Rd,West Hill,136
38 Bathurst St,West Queen West,162
3600 Steeles Ave W,,
705 Progress Ave,Woburn North,142
291 Sherbourne St,Moss Park,73
4584 Kingston Rd,West Hill,136
3306 Kingston Rd,Scarborough Village,139
731 Runnymede Rd,Junction Area,90
339 George St,Moss Park,73
76 Church St,Downtown Yonge East,168
129 Peter St,Wellington Place,164
77 Ryerson Ave,Kensington-Chinatown,78
674 Dundas St W,Kensington-Chinatown,78
616 Vaughan Rd,Oakwood Village,107
20 Gerrard St E,Downtown Yonge East,168
92 Peter St,Wellington Place,164
21 McGill St,Downtown Yonge East,168
351 Lake Shore Blvd E,St Lawrence-East Bayfront-The Islands,166
354 George St,Moss Park,73
65 Dundas St E,Downtown Yonge East,168
2714 Danforth Ave,East End-Danforth,62
60 York St,Yonge-Bay Corridor,170
56 Yonge St,Yonge-Bay Corridor,170
349 George St,Moss Park,73
60 Brant St,Wellington Place,164
360 Lesmill Rd,St. Andrew-Windfields,40
70 Denison Ave,Kensington-Chinatown,78
490 Sherbourne St,North St.James Town,74
386 Dundas St E,Moss Park,73
512 Jarvis St,Church-Wellesley,167
67 Adelaide St E,Downtown Yonge East,168
1059 College Street,Little Portugal,84
1161 Caledonia Rd,Yorkdale-Glen Park,31
185 Yorkland Blvd,Henry Farm,53
1A Strachan Ave,Fort York-Liberty Village,163
257 Dundas St E,Moss Park,73
412 Queen St E,Regent Park,72
35 Sydenham St,Regent Park,72
335 Jarvis St,Moss Park,73
702 Kennedy Rd,Kennedy Park,124
545 Lake Shore Blvd W,Harbourfront-CityPlace,165
4117 Lawrence Ave E,West Hill,136
22 Metropolitan Rd,Wexford/Maryvale,119
2035 Kennedy Rd,Agincourt South-Malvern West,128
101 Placer Ct,Hillcrest Village,48
3576 St Clair Ave E,Kennedy Park,124
5800 Yonge St,Newtonbrook West,36
422 Gilbert Ave,Caledonia-Fairbank,109
1076 Pape Ave,Broadview North,57
21 Park Rd,Rosedale-Moore Park,98
14 Vaughan Rd,Wychwood,94
26 Vaughan Rd,Wychwood,94
558 Bathurst St,Palmerston-Little Italy,80
962 Bloor St W,Dovercourt Village,172
126 Pape Ave,South Riverdale,70
60 Newcastle St,Mimico-Queensway,160
70 Gerrard St E,Downtown Yonge East,168
3410 Bayview Ave,Newtonbrook East,50
25 Augusta Ave,Kensington-Chinatown,78
69 Fraser Ave,South Parkdale,85
556 Sherbourne St,North St.James Town,74
87 Pembroke St,Moss Park,73
26 Gerrard St E,Downtown Yonge East,168
165 Grange Ave,Kensington-Chinatown,78
101 Ontario St,Moss Park,73
2808 Dundas St W,Junction Area,90
66 Norfinch Dr,Black Creek,24
107 Jarvis St,Moss Park,73
50 Estate Dr,Woburn North,142
135 Sherbourne St,Moss Park,73
29A Leslie St,Greenwood-Coxwell,65
2671 Islington Ave,Thistletown-Beaumond Heights,3
346 Spadina Ave.,Kensington-Chinatown,78
191 Spadina Rd,Annex,95
95 Wellesley St E,Church-Wellesley,167
189B Booth Ave,South Riverdale,70
7 Vanauley St,Kensington-Chinatown,78
21 Walmer Rd,Annex,95
80 Woodlawn Ave E,Rosedale-Moore Park,98
348 Davenport Road,Annex,95
6 Warrendale Ct,Mount Olive-Silverstone-Jamestown,2
747 Warden Ave,Claire-Birchmount,120
150 Borough Dr,Bendale-Glen Andrew,156
89 Church Ave.,East Willowdale,152
55 John St,Wellington Place,164
58 Cecil Street,Kensington-Chinatown,78
12 Holmes Ave,Yonge-Doris,151
15 Olive Ave,Annex,95
60 York Street,Yonge-Doris,151
111 Spadina Rd,Annex,95
75 Elizabeth Street,Yonge-Bay Corridor,170
502 Spadina Ave,University,79
885 Scarborough Golf Club Road,Morningside,135
195 Princes' Blvd,Fort York-Liberty Village,163
136 Spadina Rd,Annex,95
